conv_id,empathy,relevance,fluency
hit:401_conv:803,3,5,5
hit:478_conv:956,3,5,4
hit:887_conv:1775,4,5,5
hit:965_conv:1930,3,5,5
hit:3379_conv:6758,5,5,5
hit:3636_conv:7272,5,5,5
hit:7112_conv:14224,3,5,4
hit:8681_conv:17362,5,5,5
hit:11447_conv:22894,3,4,4
hit:12057_conv:24115,4,5,5
hit:529_conv:1059,3,4,5
hit:1670_conv:3341,3,5,5
hit:2088_conv:4177,4,4,4
hit:3735_conv:7470,1,4,5
hit:4103_conv:8207,5,5,4
hit:7797_conv:15594,3,5,5
hit:8986_conv:17972,5,5,5
hit:9116_conv:18233,1,4,4
hit:9349_conv:18698,5,5,5
hit:9988_conv:19976,3,5,5
hit:1490_conv:2981,4,5,5
hit:1502_conv:3005,4,4,5
hit:2097_conv:4194,4,5,5
hit:3104_conv:6209,4,5,5
hit:3931_conv:7863,3,5,5
hit:3961_conv:7922,4,5,5
hit:4090_conv:8181,3,5,4
hit:4233_conv:8466,5,5,5
hit:4345_conv:8691,4,5,4
hit:4722_conv:9445,4,5,4
hit:4844_conv:9689,5,5,5
hit:5323_conv:10646,2,5,5
hit:5574_conv:11149,3,5,4
hit:5579_conv:11158,5,5,5
hit:6053_conv:12106,2,5,5
hit:6367_conv:12734,4,5,5
hit:6613_conv:13226,4,5,5
hit:6759_conv:13519,5,5,5
hit:8012_conv:16024,4,5,5
hit:8290_conv:16581,4,5,5
hit:8311_conv:16622,5,5,5
hit:9338_conv:18676,4,5,5
hit:9772_conv:19545,3,5,5
hit:10145_conv:20290,4,5,5
hit:10264_conv:20529,4,5,5
hit:11090_conv:22181,4,5,5
hit:11786_conv:23572,4,5,5
hit:11794_conv:23589,1,2,5
hit:12267_conv:24535,5,5,4
hit:12276_conv:24553,5,5,5